|NP|Fc|DA|NC|AQ|Fp|SP|DI|Z|VM|CC|RG|CS|VS|PR|P0|PP|RN|PD|DD|Fz|DP|Fr|AO|Fd|Fh|Fx|PI|VA|Fg|Fs|Fe|PT|I|PX|Fa|Fi|Fl
NP|0.00130890052356|0.322916666667|0.0113636363636|0.0421686746988|0.0586011342155|0.277108433735|0.076|0.0315315315315|0.217194570136|0.0863309352518|0.211538461538|0.0845070422535|0.0454545454545|0.172413793103|0.0748299319728|0.136752136752|0.0588235294118|0.078431372549|0.0204081632653|0.041095890411|0.247191011236|0.0141843971631|0.115384615385|0.015625|0.135802469136|0.0357142857143|0.142857142857|0.0508474576271|0.0722891566265|0.08|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.115384615385
Fc|0.0968586387435|0.00208333333333|0.0661157024793|0.0319277108434|0.0113421550095|0.00602409638554|0.0576|0.0315315315315|0.00904977375566|0.0671462829736|0.0961538461538|0.112676056338|0.106060606061|0.064039408867|0.0680272108844|0.0769230769231|0.0504201680672|0.0392156862745|0.0612244897959|0.13698630137|0.0112359550562|0.0283687943262|0.0192307692308|0.03125|0.0123456790123|0.0357142857143|0.0178571428571|0.0677966101695|0.0963855421687|0.04|0.115384615385|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
DA|0.206806282723|0.00208333333333|0.00103305785124|0.390361445783|0.109640831758|0.00602409638554|0.0032|0.018018018018|0.14479638009|0.0179856115108|0.00320512820513|0.0704225352113|0.00505050505051|0.0147783251232|0.176870748299|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.041095890411|0.0112359550562|0.00709219858156|0.0769230769231|0.390625|0.0123456790123|0.0357142857143|0.0178571428571|0.0508474576271|0.0240963855422|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0769230769231|0.0384615384615|0.0416649306279|0.0384615384615
NC|0.159685863874|0.289583333333|0.0123966942149|0.0277108433735|0.470699432892|0.325301204819|0.3736|0.018018018018|0.117647058824|0.117505995204|0.330128205128|0.0985915492958|0.0707070707071|0.147783251232|0.272108843537|0.196581196581|0.0756302521008|0.078431372549|0.0204081632653|0.041095890411|0.314606741573|0.00709219858156|0.182692307692|0.015625|0.16049382716|0.0357142857143|0.232142857143|0.0677966101695|0.132530120482|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
AQ|0.0418848167539|0.114583333333|0.00619834710744|0.0656626506024|0.0207939508507|0.066265060241|0.084|0.0045045045045|0.0542986425339|0.037170263789|0.0737179487179|0.0422535211268|0.0606060606061|0.0394088669951|0.0952380952381|0.0512820512821|0.0168067226891|0.137254901961|0.0204081632653|0.013698630137|0.0674157303371|0.0141843971631|0.0673076923077|0.015625|0.0987654320988|0.107142857143|0.0892857142857|0.0169491525424|0.0481927710843|0.04|0.0384615384615|0.0666666666667|0.0384615384615|0.0384615384615|0.0384615384615|0.0769230769231|0.0416649306279|0.0384615384615
Fp|0.0340314136126|0.01875|0.00413223140496|0.0150602409639|0.00567107750473|0.0180722891566|0.0112|0.00900900900901|0.0452488687783|0.00719424460432|0.0192307692308|0.0093896713615|0.00505050505051|0.0197044334975|0.0272108843537|0.017094017094|0.00840336134454|0.0196078431373|0.0204081632653|0.013698630137|0.0449438202247|0.00709219858156|0.115384615385|0.015625|0.0246913580247|0.0357142857143|0.0892857142857|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.115384615385|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
SP|0.168848167539|0.00208333333333|0.60020661157|0.104819277108|0.0302457466919|0.0120481927711|0.0032|0.378378378378|0.140271493213|0.0743405275779|0.00320512820513|0.0422535211268|0.0252525252525|0.0738916256158|0.0680272108844|0.017094017094|0.126050420168|0.0588235294118|0.387755102041|0.356164383562|0.0112359550562|0.54609929078|0.0192307692308|0.03125|0.0493827160494|0.0357142857143|0.0178571428571|0.152542372881|0.0361445783133|0.04|0.0384615384615|0.0333333333333|0.0769230769231|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
DI|0.00392670157068|0.00208333333333|0.00619834710744|0.101807228916|0.0321361058601|0.00602409638554|0.0016|0.00900900900901|0.027149321267|0.00119904076739|0.00641025641026|0.00469483568075|0.00505050505051|0.0147783251232|0.00680272108844|0.00854700854701|0.00840336134454|0.0196078431373|0.0204081632653|0.027397260274|0.0112359550562|0.0141843971631|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0847457627119|0.0120481927711|0.04|0.0384615384615|0.0666666666667|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
Z|0.121727748691|0.0104166666667|0.00206611570248|0.0168674698795|0.00567107750473|0.0602409638554|0.0192|0.0135135135135|0.0361990950226|0.00239808153477|0.0384615384615|0.0093896713615|0.010101010101|0.00985221674877|0.0340136054422|0.00854700854701|0.00840336134454|0.0196078431373|0.0408163265306|0.013698630137|0.0224719101124|0.00709219858156|0.00961538461538|0.015625|0.0123456790123|0.0357142857143|0.0178571428571|0.0169491525424|0.0120481927711|0.04|0.0384615384615|0.0333333333333|0.0384615384615|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
VM|0.0157068062827|0.0770833333333|0.0898760330579|0.0319277108434|0.0245746691871|0.0481927710843|0.2376|0.171171171171|0.0135746606335|0.0515587529976|0.0833333333333|0.140845070423|0.444444444444|0.0985221674877|0.0136054421769|0.00854700854701|0.243697478992|0.0196078431373|0.0204081632653|0.041095890411|0.0112359550562|0.184397163121|0.0769230769231|0.015625|0.123456790123|0.0357142857143|0.0357142857143|0.0677966101695|0.0602409638554|0.04|0.0384615384615|0.0333333333333|0.0769230769231|0.0384615384615|0.0384615384615|0.0384615384615|0.0416649306279|0.0384615384615
